ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia
1,2024-02-01,IGZ,MAO,2.0,645.64,1467.34,2640.99,Alta,88,68%,AeroBrasil Connect
2,2019-01-03,REC,POA,3.0,918.94,2030.64,3629.09,Alta,85,71%,AeroBrasil Connect
3,2021-01-25,FOR,CGR,2.7,559.57,1225.44,2159.37,Alta,45,56%,AeroBrasil Connect
4,2021-10-09,CGH,IGZ,2.8,472.51,1140.97,1946.04,Baixa,12,62%,AeroBrasil Connect
5,2021-10-07,CGR,GIG,1.2,231.77,563.95,899.3,Baixa,12,59%,AeroBrasil Connect
6,2022-11-27,CNF,FOR,2.5,645.46,1487.5,2369.57,Média,89,73%,AeroBrasil Connect
7,2024-04-06,VIX,FLN,2.1,410.64,887.86,1752.74,Baixa,73,87%,AeroBrasil Connect
8,2019-04-27,CGH,SSA,2.6,501.81,1082.57,2085.24,Baixa,74,94%,AeroBrasil Connect
9,2022-11-15,BSB,MAO,1.6,485.68,1075.4,1983.29,Média,35,82%,AeroBrasil Connect
10,2021-04-05,JPA,SLZ,1.4,189.11,453.12,741.72,Baixa,21,53%,AeroBrasil Connect
11,2019-07-13,PVH,VIX,3.1,2066.9,4252.18,9062.92,Alta,3,92%,AeroBrasil Connect
12,2021-11-11,SDU,BEL,2.7,690.07,1643.04,2765.58,Média,35,73%,AeroBrasil Connect
13,2019-11-10,RBR,JPA,3.4,840.64,2008.55,3388.08,Média,22,89%,AeroBrasil Connect
14,2019-10-11,SLZ,GRU,1.4,238.79,506.34,971.24,Baixa,41,91%,AeroBrasil Connect
15,2019-02-24,SLZ,GIG,4.9,2547.4,5305.12,10260.1,Altíssima,62,86%,AeroBrasil Connect
16,2023-07-07,THE,PLU,3.9,1446.98,3364.14,5698.35,Alta,53,74%,AeroBrasil Connect
17,2023-08-04,POA,GIG,2.4,416.53,847.85,1720.73,Baixa,77,72%,AeroBrasil Connect
18,2020-02-02,SSA,GIG,3.1,586.49,1385.1,2570.22,Alta,29,51%,AeroBrasil Connect
19,2023-08-08,SLZ,CWB,1.8,285.59,637.87,1207.78,Baixa,47,78%,AeroBrasil Connect
20,2024-11-21,SDU,CGH,2.6,589.24,1234.52,2326.68,Média,15,92%,AeroBrasil Connect
21,2022-03-09,VIX,POA,4.5,616.87,1434.88,2492.52,Baixa,72,90%,AeroBrasil Connect
22,2019-02-25,POA,FOR,2.6,1056.42,2199.8,3699.75,Alta,53,92%,AeroBrasil Connect
23,2022-05-26,VIX,BEL,2.7,654.26,1467.72,2414.15,Baixa,73,90%,AeroBrasil Connect
24,2020-01-19,IGZ,THE,1.2,235.87,580.17,950.82,Alta,76,23%,AeroBrasil Connect
25,2019-09-03,FOR,GIG,3.4,585.72,1432.17,2194.23,Baixa,53,72%,AeroBrasil Connect
26,2023-01-20,GIG,CWB,3.6,1119.64,2640.22,4185.98,Alta,35,75%,AeroBrasil Connect
27,2022-03-22,RBR,BEL,2.8,601.13,1388.96,2442.39,Baixa,11,94%,AeroBrasil Connect
28,2019-02-18,REC,JPA,2.1,1080.46,2246.14,4682.44,Altíssima,33,93%,AeroBrasil Connect
