ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Rota,Tamanho_Aviao
1,2021-07-10,AJU,IGZ,1.4,279.78,447.65,615.52,Alta,29,76%,Air Regional Connect,Regional-Regional,E195
2,2022-10-10,GRU,TBT,1.4,279.73,447.57,615.41,Normal,18,80%,Air Regional Connect,Hub-Regional,ATR72
3,2021-06-23,FOR,JPA,1.0,231.43,370.29,509.15,Alta,45,67%,Air Regional Connect,Hub-Regional,E195
4,2023-05-17,FOR,SDU,0.9,176.98,283.17,389.36,Normal,23,70%,Air Regional Connect,Hub-Regional,ATR72
5,2021-06-04,CXJ,SDU,1.2,186.19,297.9,409.62,Alta,33,67%,Air Regional Connect,Regional-Regional,ATR72
6,2021-03-08,REC,SLZ,1.5,180.02,288.03,396.04,Normal,30,76%,Air Regional Connect,Hub-Regional,CRJ900
7,2021-05-27,FOR,CGR,1.5,212.44,339.9,467.37,Normal,21,74%,Air Regional Connect,Hub-Regional,E195
8,2022-05-06,POA,AJU,1.7,215.03,344.05,473.07,Normal,32,73%,Air Regional Connect,Hub-Regional,CRJ900
9,2022-03-22,REC,CGB,1.4,196.73,314.77,432.81,Normal,9,74%,Air Regional Connect,Hub-Regional,E195
10,2023-10-25,BSB,JPA,0.8,164.4,263.04,361.68,Normal,25,70%,Air Regional Connect,Hub-Regional,CRJ900
11,2020-06-02,BSB,PMW,1.9,224.7,359.52,494.34,Alta,16,51%,Air Regional Connect,Hub-Regional,CRJ900
12,2024-10-25,AJU,BPS,2.2,483.89,774.22,1064.56,Normal,10,86%,Air Regional Connect,Regional-Regional,E195
13,2023-10-16,FOR,THE,1.1,239.43,383.09,526.75,Normal,15,81%,Air Regional Connect,Hub-Regional,E190
14,2020-12-06,BSB,SOD,2.4,437.77,700.43,963.09,Alta,31,51%,Air Regional Connect,Hub-Regional,E190
15,2021-06-24,POA,JPA,1.2,252.1,403.36,554.62,Alta,11,66%,Air Regional Connect,Hub-Regional,E195
16,2020-04-28,POA,CGR,2.0,245.31,392.5,539.68,Normal,25,63%,Air Regional Connect,Hub-Regional,E190
17,2024-09-12,FOR,SOD,1.8,238.45,381.52,524.59,Normal,13,87%,Air Regional Connect,Hub-Regional,E195
18,2022-10-25,JPA,UBA,2.4,475.83,761.33,1046.83,Normal,29,71%,Air Regional Connect,Regional-Regional,E195
19,2020-08-17,PLU,NVT,1.4,198.68,317.89,437.1,Normal,43,61%,Air Regional Connect,Regional-Regional,CRJ900
20,2019-02-28,PVH,UBA,2.4,448.28,717.25,986.22,Normal,37,78%,Air Regional Connect,Regional-Regional,E195
21,2022-01-25,BSB,VIX,1.6,328.38,525.41,722.44,Alta,44,78%,Air Regional Connect,Hub-Regional,ATR72
22,2021-03-10,POA,JPA,1.4,294.79,471.66,648.54,Normal,14,66%,Air Regional Connect,Hub-Regional,E190
23,2019-10-01,GRU,CGB,1.5,355.89,569.42,782.96,Normal,27,85%,Air Regional Connect,Hub-Regional,E195
24,2021-10-10,FOR,THE,1.3,250.45,400.72,550.99,Normal,27,79%,Air Regional Connect,Hub-Regional,CRJ900
25,2023-01-12,GRU,CGR,1.3,378.44,605.5,832.57,Alta,27,77%,Air Regional Connect,Hub-Regional,E190
26,2023-03-26,GRU,TBT,0.8,145.85,233.36,320.87,Normal,4,87%,Air Regional Connect,Hub-Regional,CRJ900
27,2019-12-17,GRU,PLU,0.8,200.82,321.31,441.8,Alta,26,76%,Air Regional Connect,Hub-Regional,E195
28,2024-09-21,REC,XAP,2.3,478.22,765.15,1052.08,Normal,13,86%,Air Regional Connect,Hub-Regional,E195
29,2023-06-04,QDV,PVH,2.2,609.55,975.28,1341.01,Alta,35,89%,Air Regional Connect,Regional-Regional,E190
30,2024-07-26,POA,UBA,1.6,312.65,500.24,687.83,Alta,24,76%,Air Regional Connect,Hub-Regional,E190
31,2024-12-01,AJU,IGZ,2.1,633.37,1013.39,1393.41,Alta,29,81%,Air Regional Connect,Regional-Regional,ATR72
32,2020-06-21,VIX,UBA,2.3,310.33,496.53,682.73,Alta,41,63%,Air Regional Connect,Regional-Regional,ATR72
33,2023-07-09,BSB,IGZ,2.3,471.23,753.97,1036.71,Alta,36,79%,Air Regional Connect,Hub-Regional,E190
34,2020-08-12,POA,QDV,2.0,301.42,482.27,663.12,Normal,42,59%,Air Regional Connect,Hub-Regional,E190
35,2021-11-18,FOR,SLZ,1.0,120.0,200.0,300.0,Normal,15,78%,Air Regional Connect,Hub-Regional,CRJ900
36,2023-12-09,BSB,XAP,1.7,347.58,556.13,764.68,Alta,11,72%,Air Regional Connect,Hub-Regional,CRJ900
37,2020-12-18,POA,SOD,1.3,182.14,291.42,400.71,Alta,40,60%,Air Regional Connect,Hub-Regional,CRJ900
38,2021-06-26,GRU,THE,1.3,287.55,460.08,632.61,Alta,20,61%,Air Regional Connect,Hub-Regional,CRJ900
39,2022-02-06,GRU,CGR,1.2,299.33,478.93,658.53,Normal,11,70%,Air Regional Connect,Hub-Regional,E195
40,2021-06-08,POA,TBT,1.5,344.16,550.66,757.15,Alta,24,64%,Air Regional Connect,Hub-Regional,E190
41,2023-01-02,AJU,JPA,2.0,370.67,593.07,815.47,Alta,35,88%,Air Regional Connect,Regional-Regional,E195
42,2022-11-26,PMW,CXJ,1.3,277.58,444.13,610.68,Normal,28,73%,Air Regional Connect,Regional-Regional,ATR72
43,2021-07-22,REC,VIX,1.0,263.5,421.6,579.7,Alta,14,66%,Air Regional Connect,Hub-Regional,ATR72
44,2023-03-14,BSB,SLZ,1.3,177.46,283.94,390.41,Normal,37,86%,Air Regional Connect,Hub-Regional,E190
45,2021-10-28,GRU,IGZ,1.9,397.47,635.95,874.43,Normal,3,76%,Air Regional Connect,Hub-Regional,CRJ900
46,2022-01-04,GRU,IGZ,1.7,327.6,524.16,720.72,Alta,30,71%,Air Regional Connect,Hub-Regional,CRJ900
47,2023-02-03,BSB,SOD,1.0,149.74,239.58,329.43,Normal,34,87%,Air Regional Connect,Hub-Regional,E190
48,2020-08-19,BSB,QDV,2.1,219.98,351.97,483.96,Normal,30,57%,Air Regional Connect,Hub-Regional,CRJ900
49,2023-12-06,POA,QDV,0.8,138.42,221.47,304.52,Alta,36,83%,Air Regional Connect,Hub-Regional,E195
50,2024-01-24,VIX,CGB,1.1,285.39,456.62,627.86,Alta,27,76%,Air Regional Connect,Regional-Regional,E195
51,2024-04-23,POA,NVT,0.8,186.73,298.77,410.81,Normal,36,81%,Air Regional Connect,Hub-Regional,E190
52,2021-01-28,BSB,IGZ,2.2,292.5,468.0,643.5,Alta,29,75%,Air Regional Connect,Hub-Regional,ATR72
