ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Voo,Classe_Aviao
1,2023-10-21,REC,POA,2.3,1017.27,3269.31,7082.74,Baixa,80,82%,Global Wings International,Doméstico,A350
2,2024-11-07,CNF,LHR,10.4,6453.77,21676.32,37752.02,Média,155,70%,Global Wings International,Internacional,B777
3,2021-12-12,FOR,EZE,8.6,3380.68,10834.73,17360.7,Alta,90,56%,Global Wings International,Internacional,B777
4,2023-07-25,FOR,POA,2.2,1233.49,3277.26,9478.98,Alta,142,84%,Global Wings International,Doméstico,A330
5,2019-03-15,GRU,GIG,3.6,1332.3,4620.1,10444.84,Baixa,106,71%,Global Wings International,Doméstico,A350
6,2019-12-16,REC,JFK,9.1,8236.12,28047.8,58206.01,Alta,34,79%,Global Wings International,Internacional,B787
7,2024-04-05,GRU,CDG,8.8,5347.89,16964.1,32634.96,Baixa,94,70%,Global Wings International,Internacional,A350
8,2019-11-14,POA,GRU,2.7,1099.79,3148.12,6808.22,Média,126,72%,Global Wings International,Doméstico,A350
9,2022-05-02,FLN,JFK,11.5,6222.48,21209.36,35624.03,Baixa,130,78%,Global Wings International,Internacional,A330
10,2019-02-14,GIG,JFK,6.5,2990.64,7640.11,18709.23,Média,173,76%,Global Wings International,Internacional,A350
11,2019-11-28,POA,CNF,3.9,1432.87,4873.25,9585.33,Média,171,78%,Global Wings International,Doméstico,B777
12,2023-08-02,FOR,LHR,10.1,7068.94,21973.44,41040.91,Média,53,71%,Global Wings International,Internacional,B777
13,2024-06-09,FOR,BSB,2.5,1071.47,3174.01,8225.99,Alta,59,75%,Global Wings International,Doméstico,B787
14,2023-10-16,REC,SSA,3.9,937.45,2853.4,5507.01,Baixa,165,82%,Global Wings International,Doméstico,A330
15,2024-12-16,REC,MAD,7.8,4738.82,16212.74,35266.75,Alta,103,75%,Global Wings International,Internacional,B787
16,2024-06-08,GIG,JFK,10.6,11496.83,29191.62,62802.85,Alta,162,73%,Global Wings International,Internacional,B777
17,2023-04-07,FOR,PTY,6.1,3425.33,8858.46,21727.75,Baixa,131,78%,Global Wings International,Internacional,B777
18,2024-04-03,BSB,MAD,9.2,3958.88,11279.34,23453.33,Baixa,116,70%,Global Wings International,Internacional,B777
19,2023-04-03,BSB,GIG,3.3,866.2,3031.03,6413.54,Baixa,132,84%,Global Wings International,Doméstico,B787
20,2023-06-04,SSA,POA,3.9,2782.49,7663.15,18709.53,Alta,147,74%,Global Wings International,Doméstico,B787
21,2023-07-13,GRU,CNF,2.4,1361.46,4034.26,7535.96,Alta,43,84%,Global Wings International,Doméstico,B787
22,2019-07-01,FOR,PTY,7.4,6884.21,21779.89,38176.49,Alta,58,72%,Global Wings International,Internacional,B787
23,2022-06-08,REC,LIS,6.7,5360.28,14936.25,31013.7,Alta,68,83%,Global Wings International,Internacional,A330
24,2021-07-11,FOR,FLN,3.0,1180.1,3848.96,6130.79,Alta,123,58%,Global Wings International,Doméstico,B777
25,2023-04-06,GRU,FCO,7.0,3389.24,11578.24,22874.74,Baixa,54,76%,Global Wings International,Internacional,B777
26,2021-02-21,BSB,FOR,3.6,819.7,2603.97,6133.94,Média,63,38%,Global Wings International,Doméstico,A330
27,2019-11-12,GIG,MAD,9.6,5624.98,14650.45,40773.82,Média,134,84%,Global Wings International,Internacional,B777
28,2022-11-10,GIG,BSB,2.2,1024.49,3265.58,8140.32,Média,57,73%,Global Wings International,Doméstico,B777
29,2019-10-10,CNF,LIS,9.7,3326.12,10247.83,22459.37,Baixa,135,72%,Global Wings International,Internacional,B777
30,2019-07-13,CNF,MIA,11.8,7210.03,18750.57,57351.24,Alta,19,84%,Global Wings International,Internacional,A330
31,2021-07-11,FOR,BSB,1.9,610.91,2137.01,4521.2,Alta,7,45%,Global Wings International,Doméstico,A330
32,2023-03-24,CNF,REC,2.3,633.59,1904.4,4980.06,Baixa,70,83%,Global Wings International,Doméstico,B777
33,2022-11-09,FOR,MIA,10.5,9567.37,30311.3,64901.94,Média,15,75%,Global Wings International,Internacional,B787
34,2023-04-15,FLN,GRU,1.8,446.43,1228.95,2924.84,Baixa,10,74%,Global Wings International,Doméstico,B787
35,2023-05-26,GRU,JFK,11.9,4912.98,17157.71,36756.22,Baixa,25,83%,Global Wings International,Internacional,A350
36,2019-03-01,SSA,MAD,7.4,3919.77,11024.41,29710.25,Baixa,179,73%,Global Wings International,Internacional,B787
37,2021-02-20,CNF,SCL,7.9,2027.4,5900.45,12256.04,Média,26,32%,Global Wings International,Internacional,A330
38,2019-01-10,FLN,EZE,10.9,10636.9,33914.87,84017.58,Alta,153,79%,Global Wings International,Internacional,B777
39,2024-11-07,CNF,MIA,7.9,3796.91,12602.58,28978.28,Média,75,70%,Global Wings International,Internacional,B787
40,2023-12-13,SSA,GIG,2.0,872.78,2182.08,6819.78,Alta,48,84%,Global Wings International,Doméstico,A350
41,2023-09-17,POA,LIS,10.4,4806.36,13750.57,37013.75,Baixa,169,84%,Global Wings International,Internacional,A330
42,2021-05-15,CNF,REC,1.8,447.41,1397.91,2767.01,Baixa,16,30%,Global Wings International,Doméstico,B787
43,2019-02-04,FOR,CDG,6.6,5636.75,14712.62,42329.7,Média,48,83%,Global Wings International,Internacional,B777
44,2023-01-07,BSB,REC,3.8,2390.37,6562.33,17119.34,Alta,163,83%,Global Wings International,Doméstico,A330
45,2023-04-13,FLN,LIS,9.4,4949.15,13677.08,38668.94,Baixa,173,82%,Global Wings International,Internacional,B777
46,2023-09-11,FOR,MIA,9.3,5782.52,16176.88,43896.08,Baixa,74,79%,Global Wings International,Internacional,A330
47,2023-04-28,SSA,CDG,7.2,3937.54,12189.61,28294.44,Baixa,178,72%,Global Wings International,Internacional,A330
48,2022-01-24,FOR,SCL,7.5,7685.79,23141.84,41275.35,Alta,173,75%,Global Wings International,Internacional,B787
49,2023-10-12,REC,EZE,6.9,4364.9,12032.83,33332.65,Baixa,81,83%,Global Wings International,Internacional,A350
50,2022-02-20,SSA,BSB,2.0,945.58,2509.84,6061.65,Média,118,76%,Global Wings International,Doméstico,A350
