ID_Voo,Data_Partida,Origem,Destino,Duracao_Horas,Preco_Economica,Preco_Executiva,Preco_Premium,Temporada,Antecedencia_Dias,Lotacao_Media,Companhia,Tipo_Tarifa
1,2023-07-02,SDU,CNF,1.9,264.34,396.51,0,Alta,27,93%,SkyFast Airlines,Flex
2,2019-11-26,VIX,CNF,1.2,144.28,216.42,0,Normal,14,91%,SkyFast Airlines,Flex
3,2020-08-12,FLN,SDU,1.6,101.31,199.0,0,Normal,17,61%,SkyFast Airlines,Promocional
4,2024-10-05,VIX,GRU,1.2,143.9,259.02,0,Normal,3,86%,SkyFast Airlines,Standard
5,2019-08-20,POA,GIG,2.9,359.36,539.04,0,Normal,14,94%,SkyFast Airlines,Flex
6,2021-12-02,GRU,CGH,1.7,375.22,675.4,0,Alta,33,77%,SkyFast Airlines,Promocional
7,2023-04-22,CNF,GIG,3.2,242.76,364.14,0,Normal,2,93%,SkyFast Airlines,Promocional
8,2023-04-09,BSB,FOR,1.6,166.21,299.18,0,Normal,16,87%,SkyFast Airlines,Standard
9,2022-02-22,GRU,CWB,2.8,347.25,520.88,0,Alta,33,88%,SkyFast Airlines,Standard
10,2019-04-13,GIG,REC,1.9,313.76,470.64,0,Normal,49,93%,SkyFast Airlines,Standard
11,2022-06-08,CNF,CGH,2.6,437.63,787.73,0,Normal,11,94%,SkyFast Airlines,Standard
12,2023-08-19,VIX,BSB,3.2,351.98,527.97,0,Normal,54,86%,SkyFast Airlines,Promocional
13,2019-11-02,SSA,CNF,3.3,493.26,739.89,0,Normal,12,95%,SkyFast Airlines,Flex
14,2019-08-03,CWB,BSB,2.0,275.51,413.26,0,Normal,60,86%,SkyFast Airlines,Standard
15,2024-10-26,SDU,BSB,2.5,401.45,602.17,0,Normal,40,88%,SkyFast Airlines,Promocional
16,2021-10-05,GRU,BSB,3.4,514.79,772.18,0,Normal,13,87%,SkyFast Airlines,Standard
17,2022-08-12,SDU,CWB,3.3,365.1,547.65,0,Normal,24,89%,SkyFast Airlines,Promocional
18,2024-03-09,FLN,REC,1.5,197.1,295.65,0,Normal,6,85%,SkyFast Airlines,Flex
19,2024-09-17,BSB,REC,1.2,143.48,215.22,0,Normal,17,86%,SkyFast Airlines,Standard
20,2021-02-06,CGH,VIX,2.0,419.52,755.14,0,Alta,49,84%,SkyFast Airlines,Flex
21,2024-01-07,CWB,CGH,3.2,593.57,890.36,0,Alta,50,95%,SkyFast Airlines,Flex
22,2019-05-21,CGH,REC,2.2,240.97,361.45,0,Normal,8,85%,SkyFast Airlines,Flex
23,2023-11-09,FLN,SDU,3.2,547.48,821.22,0,Normal,2,93%,SkyFast Airlines,Flex
24,2024-12-19,SDU,FOR,3.3,659.13,988.69,0,Alta,42,89%,SkyFast Airlines,Flex
25,2019-11-21,CWB,GIG,2.6,449.47,674.21,0,Normal,45,91%,SkyFast Airlines,Standard
26,2019-02-24,VIX,CNF,3.3,333.73,600.71,0,Alta,17,85%,SkyFast Airlines,Standard
27,2022-05-08,CNF,REC,2.3,256.45,461.61,0,Normal,34,89%,SkyFast Airlines,Promocional
28,2023-10-01,VIX,CGH,1.1,171.94,257.91,0,Normal,3,93%,SkyFast Airlines,Standard
29,2023-01-08,SDU,GIG,1.5,176.82,318.28,0,Alta,53,91%,SkyFast Airlines,Promocional
30,2022-02-14,CNF,BSB,2.7,369.88,554.82,0,Alta,46,94%,SkyFast Airlines,Promocional
31,2022-03-19,REC,CGH,2.1,191.35,287.02,0,Normal,55,89%,SkyFast Airlines,Flex
32,2019-11-14,GIG,CWB,2.0,201.79,302.69,0,Normal,59,93%,SkyFast Airlines,Standard
33,2020-09-16,CWB,SSA,3.2,180.99,325.78,0,Normal,31,76%,SkyFast Airlines,Flex
34,2021-11-17,SDU,CWB,1.4,109.74,199.0,0,Normal,58,78%,SkyFast Airlines,Standard
35,2020-02-27,BSB,POA,2.0,223.49,335.24,0,Alta,60,67%,SkyFast Airlines,Standard
36,2019-03-06,GRU,CNF,1.9,271.72,489.1,0,Normal,14,86%,SkyFast Airlines,Promocional
37,2019-05-15,GIG,BSB,2.9,357.45,536.17,0,Normal,60,86%,SkyFast Airlines,Flex
38,2021-06-07,GIG,FOR,2.1,213.22,383.8,0,Normal,20,89%,SkyFast Airlines,Standard
39,2020-10-09,GRU,CGH,2.7,273.41,492.14,0,Normal,55,73%,SkyFast Airlines,Promocional
40,2024-10-07,REC,FOR,3.2,356.1,534.15,0,Normal,45,92%,SkyFast Airlines,Standard
41,2020-12-19,FLN,CWB,3.2,379.47,569.21,0,Alta,47,60%,SkyFast Airlines,Promocional
42,2022-08-19,FOR,SSA,2.7,438.15,657.22,0,Normal,37,95%,SkyFast Airlines,Promocional
43,2022-03-16,VIX,SSA,2.9,488.26,878.87,0,Normal,27,89%,SkyFast Airlines,Flex
44,2023-03-18,VIX,CNF,2.5,290.92,436.38,0,Normal,17,94%,SkyFast Airlines,Promocional
